,0,1,2,3,4,5,6,7,8,9,10
51,0,26651610436.0,9999.0,9999.0,3,26694453451.0,potrf_dtrsm,"4, 0",3,26811254685.0,26822628163.0
52,0,26651610436.0,9999.0,9999.0,3,26694453451.0,potrf_dtrsm,"13, 0",3,26810914390.0,26822628234.0
53,0,26651610436.0,9999.0,9999.0,3,26694453451.0,potrf_dtrsm,"58, 0",3,26768945957.0,26776495730.0
54,0,26651610436.0,9999.0,9999.0,3,26694453451.0,potrf_dtrsm,"46, 0",3,26800223815.0,26810572190.0
55,0,26651610436.0,9999.0,9999.0,3,26694453451.0,potrf_dtrsm,"34, 0",3,26801473054.0,26810572084.0
56,0,26651610436.0,9999.0,9999.0,3,26694453451.0,potrf_dtrsm,"28, 0",3,26803309641.0,26810572203.0
57,0,26651610436.0,9999.0,9999.0,3,26694453451.0,potrf_dtrsm,"52, 0",3,26769282184.0,26776495786.0
58,0,26651610436.0,9999.0,9999.0,3,26694453451.0,potrf_dtrsm,"70, 0",3,26766783700.0,26776495619.0
59,0,26651610436.0,9999.0,9999.0,3,26694453451.0,potrf_dtrsm,"22, 0",3,26804372096.0,26811198728.0
60,0,26651610436.0,9999.0,9999.0,3,26694453451.0,potrf_dtrsm,"55, 0",3,26769238908.0,26776495818.0
61,0,26651610436.0,9999.0,9999.0,3,26694453451.0,potrf_dtrsm,"94, 0",3,26714621864.0,26725424702.0
62,0,26651610436.0,9999.0,9999.0,3,26694453451.0,potrf_dtrsm,"40, 0",3,26800421138.0,26810572144.0
63,0,26651610436.0,9999.0,9999.0,3,26694453451.0,potrf_dtrsm,"49, 0",3,26770007270.0,26776495657.0
64,0,26651610436.0,9999.0,9999.0,3,26694453451.0,potrf_dtrsm,"82, 0",3,26714700459.0,26725424107.0
65,0,26651610436.0,9999.0,9999.0,3,26694453451.0,potrf_dtrsm,"76, 0",3,26765333268.0,26776495679.0
66,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"18, 0",0,26891874131.0,26903053746.0
67,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"99, 0",0,26651799765.0,26660593094.0
68,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"78, 0",0,26651904102.0,26660593260.0
69,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"3, 0",0,26894515549.0,26903053766.0
70,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"33, 0",0,26801080705.0,26811417168.0
71,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"87, 0",0,26651855793.0,26660593079.0
72,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"75, 0",0,26651939898.0,26660593037.0
73,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"63, 0",0,26703056674.0,26715453725.0
74,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"81, 0",0,26651880760.0,26660593028.0
75,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"66, 0",0,26691989964.0,26704106461.0
76,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"21, 0",0,26807242018.0,26819486278.0
77,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"15, 0",0,26892916354.0,26903053707.0
78,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"27, 0",0,26803181020.0,26811416976.0
79,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"12, 0",0,26893378212.0,26903053634.0
80,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"69, 0",0,26691815208.0,26704106895.0
81,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"6, 0",0,26894216362.0,26903053776.0
82,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"39, 0",0,26735850619.0,26745718743.0
83,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"36, 0",0,26800841641.0,26811430476.0
84,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"24, 0",0,26804934297.0,26817169671.0
85,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"54, 0",0,26727257652.0,26736376058.0
86,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"9, 0",0,26894132165.0,26903053736.0
87,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"96, 0",0,26651831088.0,26660593334.0
88,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"72, 0",0,26652195733.0,26660593068.0
89,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"42, 0",0,26735128946.0,26745718381.0
90,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"90, 0",0,26651852407.0,26660592968.0
91,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"57, 0",0,26726013865.0,26736375699.0
92,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"84, 0",0,26651865211.0,26660593016.0
93,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"45, 0",0,26730822556.0,26739705266.0
94,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"30, 0",0,26801892596.0,26811417247.0
95,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"48, 0",0,26729847491.0,26739705420.0
96,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"93, 0",0,26651839980.0,26660593055.0
97,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"60, 0",0,26724411420.0,26735954302.0
98,0,26651610436.0,9999.0,9999.0,-1,9999.0,potrf_dtrsm,"51, 0",0,26727845022.0,26736376432.0
